year,team_wiki,seed
2023,Houston,1
2023,Howard,16
2023,Illinois,9
2023,Indiana,4
2023,Iona,13
2023,Iowa,8
2023,Iowa State,6
2023,Kansas,1
2023,Kansas State,3
2023,Kennesaw State,14
2023,Kent State,13
2023,Kentucky,6
2023,Louisiana,13
2023,Marquette,2
2023,Maryland,8
2023,Memphis,8
2023,Miami,5
2023,Michigan State,7
2023,Mississippi State,11
2023,Missouri,7
2023,Montana State,14
2023,NC State,11
2023,Nevada,11
2023,Northern Kentucky,16
2023,Northwestern,7
2023,Oral Roberts,12
2023,Penn State,10
2023,Pittsburgh,11
2023,Princeton,15
2023,Providence,11
2023,Purdue,1
2023,SE Missouri State,16
2023,Saint Mary's,5
2023,San Diego State,5
2023,TCU,6
2023,Tennessee,4
2023,Texas,2
2023,Texas A&M,7
2023,Texas A&M–CC,16
2023,Texas A&M–Corpus Christi,16
2023,Texas Southern,16
2023,UC Santa Barbara,14
2023,UCLA,2
2023,UConn,4
2023,UNC Asheville,15
2023,USC,10
2023,Utah State,10
2023,VCU,12
2023,Vermont,15
2023,Virginia,4
2023,West Virginia,9
2023,Xavier,3
2024,Akron,14
2024,Alabama,4
2024,Arizona,2
2024,Auburn,4
2024,BYU,6
2024,Baylor,3
2024,Boise State,10
2024,Charleston,13
2024,Clemson,6
2024,Colgate,14
2024,Colorado,10
2024,Colorado State,10
2024,Creighton,3
2024,Dayton,7
2024,Drake,10
2024,Duke,4
2024,Duquesne,11
2024,Florida,7
2024,Florida Atlantic,8
2024,Gonzaga,5
2024,Grambling State,16
2024,Grand Canyon,12
2024,Houston,1
2024,Howard,16
2024,Illinois,3
2024,Iowa State,2
2024,James Madison,12
2024,Kansas,4
2024,Kentucky,3
2024,Long Beach State,15
2024,Longwood,16
2024,Marquette,2
2024,McNeese,12
2024,Michigan State,9
2024,Mississippi State,8
2024,Montana State,16
2024,Morehead State,14
2024,NC State,11
2024,Nebraska,8
2024,Nevada,10
2024,New Mexico,11
2024,North Carolina,1
2024,Northwestern,9
2024,Oakland,14
2024,Oregon,11
2024,Purdue,1
2024,Saint Mary's,5
2024,Saint Peter's,15
2024,Samford,13
2024,San Diego State,5
2024,South Carolina,6
2024,South Dakota State,15
2024,Stetson,16
2024,TCU,9
2024,Tennessee,2
2024,Texas,7
2024,Texas A&M,9
2024,Texas Tech,6
2024,UAB,12
2024,UConn,1
2024,Utah State,8
2024,Vermont,13
2024,Virginia,10
2024,Wagner,16
2024,Washington State,7
2024,Western Kentucky,15
2024,Wisconsin,5
2024,Yale,13
2025,Akron,13
2025,Alabama,2
2025,Alabama State,16
2025,American,16
2025,Arizona,4
2025,Arkansas,10
2025,Auburn,1
2025,BYU,6
2025,Baylor,9
2025,Bryant,15
2025,Clemson,5
2025,Colorado State,12
2025,Creighton,9
2025,Drake,11
2025,Duke,1
2025,Florida,1
2025,Georgia,9
2025,Gonzaga,8
2025,Grand Canyon,13
2025,High Point,13
2025,Houston,1
2025,Illinois,6
2025,Iowa State,3
2025,Kansas,7
2025,Kentucky,3
2025,Liberty,12
2025,Lipscomb,14
2025,Louisville,8
2025,Marquette,7
2025,Maryland,4
2025,McNeese,12
2025,Memphis,5
2025,Michigan,5
2025,Michigan State,2
2025,Mississippi State,8
2025,Missouri,6
2025,Montana,14
2025,Mount St. Mary's,16
2025,New Mexico,10
2025,Norfolk State,16
2025,North Carolina,11
2025,Oklahoma,9
2025,Ole Miss,6
2025,Omaha,15
2025,Oregon,5
2025,Purdue,4
2025,Robert Morris,15
2025,SIU Edwardsville,16
2025,Saint Francis,16
2025,Saint Mary's,7
2025,San Diego State,11
2025,St. John's,2
2025,Tennessee,2
2025,Texas,11
2025,Texas A&M,4
2025,Texas Tech,3
2025,Troy,14
2025,UC San Diego,12
2025,UCLA,7
2025,UConn,8
2025,UNC Wilmington,14
2025,Utah State,10
2025,VCU,11
2025,Vanderbilt,10
2025,Wisconsin,3
2025,Wofford,15
2025,Xavier,11
2025,Yale,13
