pid,gt_class_pct,gt_days_above10,gt_last30_ratio,gt_peak_ratio,gt_ratio,gt_topic,gt_trend,gt_zero_share,misc_birth_month,misc_birth_q,misc_born_usa,misc_prep,prog_prev_hit_rate,prog_prev_mean_war5,prog_prev_n,rsci_avg,rsci_best,rsci_chg,rsci_dev,rsci_frac_ranked,rsci_hs_height_in,rsci_hs_pos,rsci_hs_to_pro,rsci_n_ranked,rsci_n_services,rsci_prep_5th,rsci_range,rsci_rank,rsci_std,rsci_top100,rsci_total_norm,rsci_worst,rsci_years_to_draft,traj_d_ast36,traj_d_blk36,traj_d_fg,traj_d_fg3,traj_d_ft,traj_d_mpg,traj_d_pts36,traj_d_reb36,traj_d_stl36,traj_last_gp,traj_last_is_peak,traj_last_mpg,traj_last_pts36,traj_mpg_growth,traj_n_seasons,traj_path,traj_slope_mpg,traj_slope_pts36,traj_years_span,ts_coach_prev_hit_rate,ts_coach_prev_mean_war5,ts_coach_prev_n,ts_conf_champ,ts_in_ncaa,ts_ncaa_round,ts_win_pct,tv_adjoe,tv_adrtg,tv_age_exact,tv_ast_pct,tv_ast_tov,tv_birth_month,tv_bpm,tv_bpm_is_peak,tv_conf_tier,tv_d_adjoe,tv_d_adrtg,tv_d_ast_pct,tv_d_bpm,tv_d_efg,tv_d_ftr,tv_d_min_per,tv_d_ortg,tv_d_ts,tv_d_usg,tv_dbpm,tv_dgbpm,tv_dporpag,tv_drb,tv_drtg,tv_dunk_share,tv_dunks_pg,tv_efg,tv_first_bpm,tv_ftr,tv_gap,tv_gbpm,tv_gp,tv_home_intl,tv_home_state_code,tv_ht_growth,tv_jersey,tv_mates_best_bpm,tv_mates_bpm_sum,tv_mates_drafted,tv_mid_pct,tv_mid_share,tv_min_per,tv_mp,tv_obpm,tv_ogbpm,tv_orb,tv_ortg,tv_pfr,tv_porpag,tv_pts,tv_rec_rank,tv_rim_pct,tv_rim_share,tv_role,tv_seasons,tv_slope_bpm,tv_star_mate_minshare,tv_stops,tv_team_adjde,tv_team_adjoe,tv_team_barthag,tv_team_losses,tv_team_ncsos,tv_team_rank,tv_team_sos,tv_team_wins,tv_three_share,tv_to_pct,tv_ts,tv_usg,tv_yr,txt_athlete,txt_athlete_per1k,txt_breakout,txt_breakout_per1k,txt_character,txt_character_per1k,txt_defender,txt_defender_per1k,txt_exists,txt_hype,txt_hype_per1k,txt_injury,txt_injury_per1k,txt_left,txt_left_per1k,txt_national,txt_national_per1k,txt_nba_family,txt_nba_family_per1k,txt_negative,txt_negative_per1k,txt_playmaker,txt_playmaker_per1k,txt_positive,txt_positive_per1k,txt_prep,txt_prep_per1k,txt_pro_family,txt_pro_family_per1k,txt_projected_pick,txt_refs,txt_sections,txt_shooter,txt_shooter_per1k,txt_size,txt_size_bytes,txt_size_per1k,txt_tone,txt_transfer,txt_transfer_per1k,txt_words,wp_created_days_before,wp_editors_90d,wp_editors_pre,wp_exists,wp_revs_365d,wp_revs_90d,wp_revs_pre,wp_size_pre
P551a484de7,0.862,0,0.0,0.03,0.0041,0,0.968,0.988,1,1,1,0,0.6,4.736,5,,64.0,0.0,,0.833,79,,0,5,6,0,18.0,73,6.51,1,0.2333,82.0,4,0.143,-0.11,0.06,0.214,0.182,8.3,1.684,1.693,-0.307,39.0,1,28.8,13.625,5.1,3,1,2.55,2.939,2,,,0,1,1,5,0.846,123.366,84.7346,22.46,11.5,0.93333677,1,11.8465,1,3,15.364,-2.022,0.3,3.835,6.5,7.6,31.0,15.9,8.41,0.5,7.73174,4.84825,4.5356,21.8,88.8529,0.309,1.316,64.0,10.0051,41.6,0,9.79722,38.0,0,5,0,1.0,7.16,30.64,2,0.48,0.282,72.5,28.8205,4.11481,4.94896,12.4,119.9,2.4,3.58105,10.9487,80.2,0.736,0.669,8,3,0.921,0.799,276.109,94.82031281156854,118.49136249834534,0.9284319756178572,6,0.5222830977865007,15.0,0.6615455515081436,33,0.049,20.6,65.53,19.2,3,0,0.0,0,0.0,0,0.0,4,22.599,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.65,0,0.0,0,0.0,,8,2,0,0.0,0,3425,0.0,0.25,0,0.0,177,80,6,6,1,18,18,18,3425
P2e6be7d23b,0.828,0,0.0054,0.01,0.0024,0,1.067,0.983,1,1,1,0,0.4,7.675,15,24.0,17.0,9.0,4.1,1.0,82,4,0,6,6,0,10.0,19,3.4,1,0.7776,27.0,1,,,,,,,,,,38.0,1,14.6,17.507,0.0,1,1,,,0,1.0,8.063,1,1,1,0,0.825,132.838,89.9745,19.45,7.4,0.92004869,1,8.24036,,3,,,,,,,,,,,3.02392,1.79041,1.9985,19.0,96.9021,0.23,0.514,56.4,,57.6,0,6.81358,37.0,0,9,,5.0,9.71,58.53,1,0.3099,0.415,34.3,14.6053,5.21644,5.02316,18.2,123.3,5.0,2.26099,7.0789,95.2,0.75,0.585,8,1,,0.802,112.527,92.42588932535739,121.6386285000745,0.9592402229749796,7,0.5706684501865951,2.0,0.7427423465568473,33,0.0,11.5,58.21,21.4,1,0,0.0,0,0.0,0,0.0,0,0.0,1,3,11.538,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,5,2,0,0.0,0,4944,0.0,0.0,0,0.0,260,65,4,4,1,10,10,10,4944
Pf781dda14b,0.0,0,0.0,0.0,0.0,0,1.0,1.0,2,1,1,0,0.2,5.342,5,6.0,3.0,0.0,2.9,1.0,82,4,0,6,6,0,8.0,5,2.69,1,0.9546,11.0,2,0.528,-0.401,-0.131,-0.1,-0.006,3.9,-0.219,0.933,0.146,31.0,0,32.6,15.46,3.9,2,1,3.9,-0.219,1,,,0,1,0,1,0.618,115.739,87.2278,20.38,10.9,0.71642071,2,4.88552,0,3,-9.683,-2.596,4.3,-2.58,-11.9,1.1,2.4,-14.3,-9.41,3.8,4.16443,2.84746,4.76393,25.7,90.5229,0.165,0.677,49.7,7.46516,59.9,0,5.26498,31.0,0,5,0,1.0,7.27,14.15,1,0.3585,0.51,73.3,32.6452,0.721092,2.41752,10.7,106.2,3.8,3.12801,14.0,98.8,0.6466,0.426,7,2,-2.58,0.724,218.707,93.45004161724127,104.17733433854599,0.7772440238662933,13,0.5199348558168296,67.0,0.627002000832119,21,0.064,16.5,54.14,24.2,2,0,0.0,0,0.0,0,0.0,1,1.112,1,17,18.91,0,0.0,0,0.0,6,6.674,0,0.0,0,0.0,1,1.112,7,7.786,0,0.0,0,0.0,,11,7,1,1.112,0,10567,0.0,0.7,0,0.0,899,1010,12,58,1,24,16,125,10567
P032d23c9d9,0.0,0,0.0,0.0,0.0,0,1.0,1.0,7,3,1,0,0.333,5.784,3,,,,,,,,,,,,,,,,,,,0.714,-0.013,-0.018,0.066,0.058,6.7,3.036,2.356,0.253,29.0,1,30.8,19.169,22.7,3,1,11.35,2.251,2,,,0,1,0,1,0.625,125.093,96.7777,21.91,15.0,1.14518909,7,5.30474,1,3,10.957,-0.796,2.8,3.043,-0.7,0.3,10.0,9.6,0.52,2.1,1.31196,0.375361,3.53972,22.7,98.7643,0.085,0.481,53.9,2.64162,36.3,0,5.44127,27.0,0,22,0,35.0,6.71,21.88,0,0.3564,0.304,69.6,30.8276,3.99278,5.06591,11.2,112.8,2.1,3.99945,16.4138,62.8,0.6928,0.461,7,3,1.332,0.755,163.806,99.6964977458455,113.18613280174398,0.8114387078033364,12,0.350406768123067,53.0,0.5481156948901056,20,0.235,14.7,56.34,26.7,3,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0.0,0,0.0,0,0.0,1,5.587,0,0.0,0,0.0,1,5.587,1,5.587,0,0.0,0,0.0,,2,3,0,0.0,0,2411,0.0,0.25,0,0.0,179,26,4,4,1,9,9,9,2411
P63f00af37c,0.0,0,0.0,0.0,0.0,0,1.0,1.0,4,2,1,0,0.125,1.595,8,72.0,58.0,-2.0,12.5,1.0,81,4,0,6,6,0,36.0,72,11.38,1,0.2908,94.0,2,0.787,-0.742,-0.006,-0.01,0.062,5.8,1.163,1.091,-0.31,34.0,1,36.1,13.163,5.8,2,1,5.8,1.163,1,0.0,-0.103,1,1,0,2,0.559,120.521,96.8051,21.2,10.8,1.18642312,4,7.50563,0,3,3.705,6.843,3.2,-0.923,-2.4,1.2,14.5,0.4,-0.93,1.8,3.2759,1.71852,4.10059,19.2,101.689,0.283,0.735,54.8,8.42877,36.3,0,5.92301,34.0,0,32,1,20.0,5.14,17.94,0,0.3438,0.3,89.6,36.0882,4.22973,4.20449,7.7,118.4,2.7,4.0687,13.1765,85.8,0.697,0.309,6,2,-0.923,0.924,244.374,101.54947456246202,116.85107067881552,0.8339759994075862,15,0.4828876515124824,45.0,0.6785094499106508,19,0.391,15.7,59.72,18.0,2,0,0.0,0,0.0,0,0.0,2,10.152,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,5,2,0,0.0,0,3049,0.0,0.0,0,0.0,197,80,5,5,1,15,15,15,3049
Pc4f84bc197,0.741,0,0.0,0.01,0.0008,0,0.989,0.994,5,2,1,0,0.389,9.293,18,33.0,23.0,-4.0,7.8,1.0,78,3,0,6,6,0,19.0,32,7.16,1,0.6767,42.0,4,0.898,0.422,0.209,0.174,0.214,23.6,9.773,-0.601,-1.292,35.0,1,34.1,20.059,29.4,3,1,14.7,3.902,3,,,0,1,1,1,0.857,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,33.0,8.52,33.37,2,,,,,,,,,,,,,,,,,,0.884,,95.0799295242765,120.87196873908974,0.9404846299736808,5,0.5429294365818232,11.0,0.6104133397523785,30,,,,,,1,3.984,0,0.0,0,0.0,0,0.0,1,2,7.968,1,3.984,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.984,0,0.0,0,0.0,,4,2,0,0.0,0,4500,0.0,0.25,1,3.984,251,73,5,5,1,7,7,7,4500
Pa79b34cca8,0.0,0,0.0,0.0,0.0,0,1.0,1.0,7,3,1,0,,,0,,,,,,,,,,,,,,,,,,,-0.984,-0.811,-0.022,0.06,-0.025,0.6,-8.979,-3.773,-1.143,34.0,0,32.8,19.866,3.2,4,1,1.12,0.103,4,0.0,1.798,2,1,0,1,0.559,133.723,99.8978,22.97,28.3,1.8271071,7,9.52701,,3,,,,,,,,,,,2.46604,2.93893,3.3849,10.7,103.201,0.049,0.212,58.1,,43.5,0,11.6766,33.0,0,6,,21.0,6.64,-0.04,1,0.4435,0.288,81.6,32.8235,7.06097,8.73764,3.5,121.1,2.7,5.20087,18.0882,,0.6761,0.356,2,1,,0.695,207.998,103.14335305933173,112.2568944917571,0.7258577046348929,15,0.4763312966876089,81.0,0.6040451133521982,19,0.356,16.6,62.67,25.9,4,1,1.835,2,3.67,0,0.0,1,1.835,1,3,5.505,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,5.505,1,1.835,0,0.0,0,0.0,,9,4,1,1.835,0,6681,0.0,0.25,1,1.835,545,46,2,2,1,8,8,8,6681
P38e6db5ca1,0.767,0,0.0,0.01,0.0016,0,1.0,0.988,5,2,1,0,0.389,9.293,18,13.0,10.0,-1.0,3.0,1.0,75,,0,6,6,0,14.0,14,4.63,1,0.8612,24.0,1,,,,,,,,,,36.0,1,24.9,15.759,0.0,1,1,,,0,0.0,-1.334,1,1,1,2,0.757,124.248,97.6471,19.13,12.6,1.24487547,5,4.00385,,3,,,,,,,,,,,-0.491951,0.692198,2.77612,8.2,105.15,0.044,0.111,56.4,,36.3,0,3.95352,36.0,0,44,,15.0,8.79,40.68,4,0.3548,0.221,60.5,24.8889,4.4958,3.26132,3.1,116.4,3.8,3.14853,10.9444,97.6,0.6667,0.32,3,1,,0.888,132.144,96.54223067807716,122.79288641682267,0.9408085923892002,9,0.5412136269649015,10.0,0.7350603200328361,28,0.459,15.4,59.8,20.4,1,2,2.774,0,0.0,0,0.0,1,1.387,1,10,13.87,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,4.161,7,9.709,0,0.0,0,0.0,,17,6,0,0.0,0,8576,0.0,0.7,1,1.387,721,619,5,32,1,51,11,87,8576
P204a101867,0.914,0,0.0027,0.03,0.0073,0,0.949,0.965,4,2,1,0,0.0,1.965,2,17.0,9.0,-7.0,8.3,1.0,80,5,0,6,6,0,22.0,16,7.54,1,0.8487,31.0,2,0.912,0.606,0.066,0.155,0.068,6.8,6.204,2.22,-0.117,35.0,1,32.5,20.492,6.8,2,1,6.8,6.204,1,0.0,1.965,2,1,1,3,0.771,130.402,86.8764,20.18,18.7,0.89832113,4,8.33723,1,3,26.281,-1.493,5.5,6.038,7.4,16.6,18.7,16.8,8.76,4.6,4.69303,3.00327,4.79474,32.7,91.6952,0.137,0.543,57.2,2.29875,49.9,0,8.42621,35.0,0,14,0,50.0,8.29,33.29,2,0.3862,0.45,80.5,32.5429,3.6442,5.42294,10.7,112.9,3.4,4.76079,18.4571,96.4,0.7603,0.348,7,2,6.038,0.785,269.176,94.130014957121,117.25347312203297,0.9259515453744139,8,0.49447929373481436,17.0,0.6926018639054834,27,0.202,20.9,62.03,28.5,2,1,0.387,0,0.0,4,1.547,2,0.773,1,31,11.988,0,0.0,0,0.0,13,5.027,0,0.0,1,0.387,3,1.16,22,8.507,0,0.0,1,0.387,,61,17,5,1.933,1,27808,0.387,0.808,0,0.0,2586,724,19,59,1,212,53,234,27808
P1ea9c7c88d,0.767,0,0.0,0.01,0.0016,0,0.978,0.988,3,1,1,0,0.2,4.945,5,,64.0,0.0,,0.667,77,3,0,4,6,0,36.0,94,13.38,1,0.1067,100.0,4,0.976,-0.018,-0.003,0.047,-0.005,1.7,2.568,-0.835,0.364,36.0,1,33.1,20.338,11.7,4,1,4.1,2.516,3,,,0,1,1,2,0.889,139.493,88.6681,22.3,18.8,1.49295204,3,10.4034,1,3,10.078,0.53,6.4,1.473,1.5,6.1,4.7,4.6,1.66,3.6,3.13016,3.27945,4.73281,17.5,93.5948,0.131,0.556,59.0,6.82288,36.7,0,10.8277,36.0,0,51,0,3.0,11.62,40.65,4,0.4,0.259,82.9,33.1667,7.27323,7.54825,5.9,122.3,2.7,5.95021,18.6944,84.4,0.7125,0.346,4,4,0.942,0.778,241.733,93.51518500467397,122.89966068038396,0.9586046784813834,4,0.6067760604466794,3.0,0.7132269019660855,32,0.395,13.4,61.89,27.1,4,2,1.421,2,1.421,0,0.0,2,1.421,1,10,7.107,0,0.0,0,0.0,0,0.0,0,0.0,2,1.421,4,2.843,8,5.686,0,0.0,1,0.711,,31,12,8,5.686,0,19448,0.0,0.462,0,0.0,1407,626,5,34,1,67,16,104,19448
Pdb78b3595b,0.0,0,0.0,0.0,0.0,0,1.0,1.0,5,2,1,0,0.0,1.26,1,,,,,,,,,,,,,,,,,,,1.165,-0.596,-0.078,0.273,0.092,9.6,1.3,2.901,-0.389,34.0,1,30.5,20.42,9.0,3,1,4.5,3.763,2,,,,,,,,131.768,89.6471,22.14,16.7,0.78998365,5,7.56485,1,3,4.873,-7.197,8.0,1.175,-8.0,-6.4,22.7,-4.0,-5.15,6.7,3.45496,2.03488,4.29722,22.9,96.1425,0.225,1.303,52.7,3.13005,42.3,0,7.3409,33.0,0,43,1,5.0,8.97,34.07,0,0.4118,0.443,74.9,30.5,4.10989,5.30602,14.9,110.0,4.0,4.7074,17.3235,74.8,0.652,0.483,8,3,2.217,0.742,200.076,94.96886741177201,117.00260230067816,0.9167846727500835,8,0.5147057315965061,22.0,0.7300687319237403,27,0.073,19.2,56.28,30.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,7,14,1,43,20,43,3909
P86ef73625c,0.0,0,0.0,0.0,0.0,0,1.0,1.0,8,3,1,0,0.0,-0.748,6,17.0,9.0,6.0,6.2,1.0,78,2,0,6,6,0,16.0,16,5.64,1,0.8487,25.0,2,0.25,0.125,0.005,0.052,0.04,0.0,1.75,-2.0,0.0,35.0,1,28.8,21.5,0.0,2,1,0.0,1.75,1,,,0,1,1,4,0.75,122.565,95.7108,21.81,11.6,0.85916397,8,2.88435,1,3,6.305,-2.373,1.2,1.995,2.7,-6.7,0.3,5.6,2.25,0.1,-0.19451,0.475958,3.40588,11.9,102.343,0.173,0.629,51.0,0.889506,28.2,0,4.70565,35.0,0,9,0,4.0,8.88,46.55,2,0.4192,0.342,72.0,28.8,3.07886,4.22969,4.0,108.4,2.2,3.47514,17.2286,96.8,0.6267,0.307,4,2,1.995,0.692,177.268,96.18194902789648,116.08742653450142,0.8968932204827044,9,0.4641029101803555,27.0,0.6978600853070476,26,0.35,14.1,54.37,27.4,2,0,0.0,0,0.0,0,0.0,3,5.988,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,5.988,3,5.988,1,9.98,0,0.0,,7,4,3,5.988,0,5970,0.0,0.5,1,3.992,501,675,6,31,1,17,7,50,5970
P0d567b6867,0.0,0,0.0,0.0,0.0,0,1.0,1.0,10,4,1,0,0.5,3.719,2,29.0,19.0,0.0,9.7,1.0,77,2,0,6,6,0,25.0,24,8.84,1,0.7294,44.0,2,-0.467,-0.382,0.026,0.085,0.053,9.7,4.741,0.337,0.238,36.0,1,28.7,17.436,9.7,2,1,9.7,4.741,1,,,0,1,1,5,0.703,110.863,85.3106,20.66,23.0,1.29487242,10,5.88112,1,3,23.616,-8.038,1.0,7.832,4.2,-1.4,21.8,17.3,4.27,1.3,4.0139,3.9839,4.36725,15.5,90.1059,0.087,0.257,44.5,-1.95093,28.0,0,6.01012,35.0,0,40,0,15.0,13.45,29.85,1,0.3317,0.452,68.8,28.6944,1.86722,2.02622,4.1,96.2,3.8,2.26524,13.9167,95.2,0.6696,0.25,4,2,7.832,0.81,219.909,90.02679936404135,109.39944891609787,0.9039002453360141,11,0.532855291182684,25.0,0.7078266198548714,26,0.298,15.9,46.62,28.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,2,2,1,5,5,5,3198
P9d178fdf5d,0.0,0,0.0,0.0,0.0,0,1.0,1.0,4,2,1,0,,,0,,,,,,,,,,,,,,,,,,,0.798,0.074,-0.039,-0.077,0.037,3.0,2.954,0.938,0.035,29.0,1,35.1,23.59,5.5,4,1,1.8,2.53,3,,,0,1,0,1,0.727,130.854,97.443,22.19,15.0,0.90140097,4,4.91498,0,2,-0.138,5.853,6.7,-2.047,-7.5,4.8,-5.7,-9.3,-5.09,6.6,0.403531,0.495656,3.90984,23.2,96.3548,0.076,0.25,52.7,1.41398,42.8,0,7.68973,28.0,0,13,1,25.0,2.37,-1.17,0,0.4094,0.39,76.3,35.1379,4.51145,7.19408,8.0,117.8,2.6,5.20489,22.9655,50.0,0.6639,0.271,6,4,1.156,0.782,203.71,100.8021228325047,105.35451890082106,0.6243313212816612,9,0.49661551409597354,110.0,0.44045877746268686,24,0.339,13.5,59.63,29.5,4,0,0.0,0,0.0,0,0.0,1,3.058,1,4,12.232,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.058,0,0.0,0,0.0,,10,2,0,0.0,0,7333,0.0,0.25,0,0.0,327,301,4,15,1,40,10,40,7333
P2acab9acdb,0.0,0,0.0,0.0,0.0,0,1.0,1.0,12,4,1,0,0.333,4.756,3,,,,,,,,,,,,,,,,,,,0.447,0.517,0.082,-0.028,0.008,5.8,0.95,-0.07,-0.444,22.0,1,31.7,16.24,24.5,3,1,12.25,4.87,2,0.0,1.365,1,1,1,4,0.632,122.215,97.8163,21.48,30.3,1.81034798,12,6.50277,1,3,6.951,4.557,5.1,1.362,6.1,4.6,-13.4,5.9,5.33,1.3,2.67602,3.00702,3.65556,13.5,103.093,0.144,0.667,50.7,-4.56156,64.5,0,7.57058,21.0,0,22,1,4.0,6.43,31.25,0,0.34,0.253,45.6,33.1429,3.82675,4.56356,1.8,110.2,2.9,3.93552,14.9524,79.0,0.6154,0.525,2,3,5.532,0.834,131.808,98.86917389707246,116.26950023971283,0.8657976692246974,14,0.6336835110318279,35.0,0.7476640407394415,24,0.222,19.6,56.97,24.8,2,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0.0,2,17.544,0,0.0,0,0.0,0,0.0,0,0.0,2,17.544,0,0.0,0,0.0,0,0.0,,6,2,0,0.0,0,2920,0.0,0.0,0,0.0,114,77,4,4,1,9,9,9,2920
P57703dc960,0.0,0,0.0,0.0,0.0,0,1.0,1.0,6,2,1,0,0.0,0.74,3,,,,,,,,,,,,,,,,,,,-0.098,0.122,0.003,0.176,0.075,-1.0,1.682,2.223,-0.298,35.0,1,31.4,14.904,7.8,4,1,3.06,1.899,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0.0,0,0.0,0,0.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.263,1,5.263,0,0.0,0,0.0,,4,2,0,0.0,0,3184,0.0,0.25,0,0.0,190,17,1,1,1,1,1,1,3184
P5351e63d76,0.94,0,0.0,0.02,0.0114,0,0.874,0.936,4,2,1,0,0.3,4.978,20,,53.0,0.0,,0.5,71,1,0,3,6,0,35.0,89,14.52,1,0.1433,88.0,4,0.242,-0.008,0.056,0.09,0.055,2.6,6.979,-0.433,-0.101,36.0,1,36.1,20.842,20.0,4,1,6.0,2.595,3,0.333,2.817,6,1,1,4,0.861,142.438,95.9264,23.22,26.1,2.17438978,4,8.35623,1,3,20.165,4.323,2.7,0.365,8.2,-3.3,6.3,11.3,7.44,4.6,0.636371,2.09129,4.20296,10.4,102.695,0.005,0.028,57.3,2.04876,48.4,0,10.0307,36.0,0,46,0,0.0,9.0,35.16,2,0.4094,0.258,89.4,36.1389,7.71986,7.93943,2.0,125.2,2.2,6.78213,20.9167,76.6,0.5602,0.388,2,4,1.99,0.872,224.991,95.55346792095183,122.19994580385021,0.9442063856973849,5,0.6012607744465954,9.0,0.7597279641775704,31,0.354,14.4,62.23,25.5,4,1,1.299,0,0.0,0,0.0,2,2.597,1,25,32.468,0,0.0,0,0.0,1,1.299,0,0.0,0,0.0,7,9.091,9,11.688,0,0.0,0,0.0,,22,6,0,0.0,0,12103,0.0,0.75,0,0.0,770,680,29,64,1,148,71,160,12103
P964dd1e5f4,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1,1,0,0,0.556,9.987,18,38.0,25.0,11.0,16.9,1.0,80,4,0,6,6,0,44.0,36,15.47,1,0.6408,69.0,3,,,,,,,,,,31.0,1,21.7,7.631,0.0,1,1,,,0,0.0,-0.095,1,1,0,0,0.469,96.4176,96.3799,21.47,7.8,1.26922616,1,4.59285,,3,,,,,,,,,,,4.21148,2.99013,2.50275,17.5,102.571,0.098,0.129,45.1,,36.6,1,2.64567,31.0,0,28,,43.0,4.52,13.93,2,0.3696,0.374,51.9,21.6774,0.381373,-0.344465,5.8,103.5,3.8,0.634053,4.6452,93.6,0.6098,0.333,6,1,,0.895,143.616,100.94265293977207,112.39646090472652,0.7748702521366874,17,0.6221446557243985,68.0,0.7116314474133213,15,0.293,17.3,49.87,12.4,2,2,1.899,1,0.95,3,2.849,5,4.748,1,2,1.899,4,3.799,0,0.0,9,8.547,0,0.0,2,1.899,0,0.0,3,2.849,1,0.95,1,1.899,,42,8,1,0.95,0,25254,0.0,0.125,1,1.899,1053,709,14,39,1,78,24,121,25254
P10187f6389,0.897,0,0.0,0.02,0.0057,0,0.947,0.965,11,4,1,0,0.5,3.719,2,35.0,22.0,-1.0,7.8,1.0,77,2,0,6,6,0,21.0,34,7.14,1,0.665,43.0,4,-1.159,0.518,0.062,0.059,0.066,0.8,8.152,2.319,0.599,31.0,1,33.9,22.726,4.3,4,1,1.54,2.08,3,,,0,1,1,5,0.703,140.083,83.1032,22.6,19.4,1.13157895,11,13.4543,1,3,27.932,-11.472,-2.8,8.329,6.8,16.3,-11.0,12.3,8.7,7.0,5.82788,5.58054,5.22895,16.2,88.3804,0.072,0.281,51.0,2.73465,59.0,0,15.8457,32.0,0,40,0,0.0,5.88,22.28,0,0.3551,0.314,71.9,32.9062,7.6264,10.2651,8.0,118.2,2.7,5.85655,20.7188,94.0,0.5752,0.349,4,4,3.325,0.81,244.238,90.02679936404135,109.39944891609787,0.9039002453360141,11,0.532855291182684,25.0,0.7078266198548714,26,0.337,14.2,58.98,29.2,4,0,0.0,0,0.0,0,0.0,1,1.883,1,2,3.766,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,3.766,4,7.533,1,3.766,0,0.0,,1,3,1,1.883,0,6281,0.0,0.571,1,1.883,531,1176,16,35,1,37,31,84,6281
Pc32fe4a167,0.862,0,0.0,0.01,0.0041,0,0.957,0.971,1,1,0,0,0.6,4.736,5,,,,,,,,,,,,,,,,,,,0.439,0.272,0.018,0.063,-0.052,-7.5,4.58,-1.373,0.358,35.0,1,25.3,22.909,-3.0,3,1,-1.5,4.14,2,,,0,1,1,5,0.846,132.464,92.6251,21.42,23.0,1.3194788,1,6.43595,1,3,4.555,-4.866,3.6,0.251,3.9,-1.5,-25.4,0.0,2.34,4.2,0.986617,2.07884,3.27661,9.9,97.4912,0.078,0.294,55.4,2.33283,29.6,0,7.8027,34.0,0,0,1,24.0,11.85,36.05,2,0.4058,0.338,56.9,25.3143,5.44934,5.72386,4.7,113.3,4.4,3.93837,16.1143,88.4,0.6589,0.316,4,3,2.052,0.799,158.623,94.82031281156854,118.49136249834534,0.9284319756178572,6,0.5222830977865007,15.0,0.6615455515081436,33,0.346,15.8,58.2,30.1,3,0,0.0,0,0.0,0,0.0,0,0.0,1,6,10.791,1,1.799,0,0.0,4,7.194,0,0.0,0,0.0,1,1.799,1,1.799,1,3.597,0,0.0,,9,5,1,1.799,0,7444,0.0,0.25,0,0.0,556,466,8,36,1,62,20,74,7444
P1804943702,0.853,0,0.0,0.02,0.0032,0,0.968,0.983,2,1,1,0,0.6,4.736,5,28.0,18.0,2.0,10.4,1.0,76,1,0,6,6,0,25.0,23,9.5,1,0.7361,43.0,2,-0.352,-0.119,0.026,0.017,0.043,-0.1,1.493,-0.943,0.003,39.0,1,30.0,17.52,-0.1,2,1,-0.1,1.493,1,,,0,1,1,5,0.846,124.749,96.1373,21.34,10.9,1.13557646,2,4.47016,1,3,6.084,-2.42,-0.7,0.605,4.3,-7.2,4.5,7.3,3.82,-0.1,-0.272438,0.774865,3.52254,9.6,100.81,0.043,0.132,57.4,3.86563,34.5,0,5.51274,38.0,0,5,0,5.0,11.85,38.02,2,0.3247,0.194,75.4,29.9744,4.7426,4.73788,3.3,117.7,2.0,3.86828,14.641,94.6,0.6325,0.295,4,2,0.605,0.799,180.935,94.82031281156854,118.49136249834534,0.9284319756178572,6,0.5222830977865007,15.0,0.6615455515081436,33,0.511,13.9,60.49,21.5,2,1,0.868,0,0.0,0,0.0,1,0.868,1,5,4.34,2,1.736,0,0.0,13,11.285,0,0.0,0,0.0,2,1.736,6,5.208,0,0.0,0,0.0,,6,10,1,0.868,0,11067,0.0,0.667,0,0.0,1152,461,12,42,1,71,42,132,11067
